account_id,date,cost_amount,currency
131471595343,2025-08-01,0.0,USD
131471595343,2025-08-02,0.0,USD
131471595343,2025-08-03,0.0,USD
131471595343,2025-08-04,0.0,USD
131471595343,2025-08-05,0.0,USD
131471595343,2025-08-06,0.0,USD
131471595343,2025-08-07,0.0,USD
131471595343,2025-08-08,0.0,USD
131471595343,2025-08-09,0.0,USD
131471595343,2025-08-10,0.0,USD
131471595343,2025-08-11,0.0,USD
131471595343,2025-08-12,0.0,USD
131471595343,2025-08-13,0.0,USD
131471595343,2025-08-14,0.0,USD
131471595343,2025-08-15,0.0,USD
131471595343,2025-08-16,0.0,USD
131471595343,2025-08-17,0.0,USD
131471595343,2025-08-18,0.0,USD
131471595343,2025-08-19,0.0,USD
131471595343,2025-08-20,0.0,USD
131471595343,2025-08-21,0.0,USD
131471595343,2025-08-22,0.0,USD
131471595343,2025-08-23,0.0,USD
131471595343,2025-08-24,0.0,USD
131471595343,2025-08-25,0.0,USD
131471595343,2025-08-26,0.0,USD
131471595343,2025-08-27,0.0,USD
131471595343,2025-08-28,0.0,USD
131471595343,2025-08-29,0.0,USD
131471595343,2025-08-30,0.0,USD
131471595343,2025-08-31,0.0,USD
131471595343,2025-08-01,0.0,USD
131471595343,2025-08-02,0.0,USD
131471595343,2025-08-03,0.0,USD
131471595343,2025-08-04,0.0,USD
131471595343,2025-08-05,0.0,USD
131471595343,2025-08-06,0.0,USD
131471595343,2025-08-07,0.0,USD
131471595343,2025-08-08,0.0,USD
131471595343,2025-08-09,0.0,USD
131471595343,2025-08-10,0.0,USD
131471595343,2025-08-11,0.0,USD
131471595343,2025-08-12,0.0,USD
131471595343,2025-08-13,0.0,USD
131471595343,2025-08-14,0.0,USD
131471595343,2025-08-15,0.0,USD
131471595343,2025-08-16,0.0,USD
131471595343,2025-08-17,0.0,USD
131471595343,2025-08-18,0.0,USD
131471595343,2025-08-19,0.0,USD
131471595343,2025-08-20,0.0,USD
131471595343,2025-08-21,0.0,USD
131471595343,2025-08-22,0.0,USD
131471595343,2025-08-23,0.0,USD
131471595343,2025-08-24,0.0,USD
131471595343,2025-08-25,0.0,USD
131471595343,2025-08-26,0.0,USD
131471595343,2025-08-27,0.0,USD
131471595343,2025-08-28,0.0,USD
131471595343,2025-08-29,0.0,USD
131471595343,2025-08-30,0.0,USD
131471595343,2025-08-31,0.0,USD
131471595343,2025-09-01,0.0,USD
131471595343,2025-09-02,0.0,USD
131471595343,2025-09-03,0.0,USD
131471595343,2025-09-04,0.0,USD
131471595343,2025-09-05,0.0,USD
131471595343,2025-09-06,0.0,USD
131471595343,2025-09-07,0.0,USD
131471595343,2025-09-08,0.0,USD
131471595343,2025-09-09,0.0,USD
131471595343,2025-09-10,0.0,USD
131471595343,2025-09-11,0.0,USD
131471595343,2025-09-12,1e-10,USD
131471595343,2025-09-13,0.0,USD
131471595343,2025-09-14,0.0,USD
131471595343,2025-09-15,0.0,USD
131471595343,2025-09-16,0.0,USD
131471595343,2025-09-17,0.0,USD
131471595343,2025-09-18,0.0,USD
131471595343,2025-09-19,0.0,USD
131471595343,2025-09-20,0.0,USD
131471595343,2025-09-21,0.0,USD
131471595343,2025-09-22,0.0,USD
131471595343,2025-09-23,0.0,USD
131471595343,2025-09-24,0.0,USD
131471595343,2025-09-25,0.0,USD
131471595343,2025-09-26,0.0,USD
131471595343,2025-09-27,0.0,USD
131471595343,2025-09-28,0.0,USD
131471595343,2025-09-29,0.0,USD
131471595343,2025-09-30,0.0,USD
131471595343,2025-10-01,0.0,USD
131471595343,2025-10-02,0.0,USD
131471595343,2025-10-03,0.0,USD
131471595343,2025-10-04,0.0,USD
131471595343,2025-10-05,0.0,USD
131471595343,2025-10-06,0.0,USD
131471595343,2025-10-07,0.0,USD
131471595343,2025-10-08,0.0,USD
131471595343,2025-10-09,0.0,USD
131471595343,2025-10-10,0.0,USD
131471595343,2025-10-11,0.0,USD
131471595343,2025-10-12,0.0,USD
131471595343,2025-10-13,0.0,USD
131471595343,2025-10-14,0.0,USD
131471595343,2025-10-15,0.0,USD
131471595343,2025-10-16,0.0,USD
131471595343,2025-10-17,0.0,USD
131471595343,2025-10-18,0.0,USD
131471595343,2025-10-19,0.0,USD
131471595343,2025-10-20,5e-10,USD
131471595343,2025-10-21,-1.8e-09,USD
131471595343,2025-10-22,-4.2e-09,USD
131471595343,2025-10-23,-4.3e-09,USD
131471595343,2025-10-24,-4.4e-09,USD
131471595343,2025-10-25,-3.2e-09,USD
131471595343,2025-10-26,-3.4e-09,USD
131471595343,2025-10-27,-4.9e-09,USD
131471595343,2025-10-28,-4.6e-09,USD
131471595343,2025-10-29,-4.3e-09,USD
131471595343,2025-10-30,-4.9e-09,USD
