model,h7,h14,h21,h30,h45,h60,h90,h7_sd,h14_sd,h21_sd,h30_sd,h45_sd,h60_sd,h90_sd
SeasonalNaive,10.18,10.84,11.85,12.28,12.14,12.66,12.91,2.84,2.75,3.17,2.82,2.34,2.21,2.02
ETS,11.28,11.24,11.54,11.20,11.38,11.39,12.15,2.54,2.45,1.80,0.57,0.78,0.74,2.39
Prophet,14.41,20.47,22.11,20.93,19.31,19.70,18.08,6.22,7.40,8.23,7.53,7.20,7.89,8.42
Naive,25.16,27.90,27.51,27.26,27.47,27.87,27.38,4.47,3.52,4.05,4.36,3.97,4.09,3.70
